"","age","sex","educ","province","vote_liberal","vote_conservative","vote_ndp","vote_bloc","vote_green","vote_people","vote_other"
"1",31,"Female","Graduate Degree","Quebec",0,0,0,0,1,0,0
"2",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"3",22,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"4",21,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"5",22,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"6",20,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"7",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"8",22,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"9",21,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"10",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"11",22,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"12",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"13",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"14",20,"Female","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"15",20,"Female","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"16",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"17",20,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"18",25,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"19",21,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"20",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"21",21,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"22",20,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"23",20,"Female","No Highschool Diploma","Ontario",1,0,0,0,0,0,0
"24",21,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"25",25,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"26",22,"Female","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"27",20,"Male","No Highschool Diploma","Ontario",1,0,0,0,0,0,0
"28",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"29",23,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"30",20,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"31",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"32",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"33",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"34",22,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"35",22,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"36",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"37",22,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"38",21,"Female","No Highschool Diploma","Ontario",0,0,1,0,0,0,0
"39",21,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"40",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"41",20,"Male","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"42",24,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"43",22,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"44",21,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"45",21,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"46",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"47",20,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"48",21,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"49",22,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"50",23,"Male","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"51",24,"Female","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"52",20,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"53",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"54",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"55",23,"Female","No Highschool Diploma","Ontario",0,0,1,0,0,0,0
"56",20,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"57",21,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"58",22,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"59",21,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
